Quote_TR,,Author,Topic
"Eğer olaylara bakış açınızı değiştirirseniz, baktığınız şeyler de değişir.","If you change the way you look at things, the things you look at change.",Wayne Dyer,
Hiç kimse sevmediği bir alanda başarılı olamaz.,No man can succeed in a line of endeavor which he does not like.,Napoleon Hill,
"Öfkenin cezasını çekmeyeceksin, öfkenin cezasını çekeceksin.","You will not be punished for your anger, you will be punished by your anger.",Buddha,
"Her günü, topladığınız hasata göre değil, ektiğiniz tohumlara göre değerlendirin.",Don't judge each day by the harvest you reap but by the seeds you plant.,Robert Stevenson,
Zamanın bazı şeyleri değiştirdiğini söylüyorlar ama aslında onları kendiniz değiştirmeniz gerekiyor.,"They say that time changes things, but you actually have to change them yourself.",Andy Warhol,
"İnandığınız ve sarıldığınız gerçek, sizi yeni hiçbir şey duyamayacak hale getiriyor.",The truth you believe and cling to makes you unavailable to hear anything new.,Pema Chodron,
"Sıkıntı, müreffeh koşullarda uykuda kalacak olan yetenekleri ortaya çıkarma etkisine sahiptir.","Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant.",Horace,
Yarının farkına varmamızın tek sınırı bugünkü şüphelerimiz olacaktır.,The only limit to our realization of tomorrow will be our doubts of today.,Franklin Roosevelt,
"Hayatımızın her eylemi, sonsuzlukta titreşecek bir akora dokunuyor.",Every action of our lives touches on some chord that will vibrate in eternity.,Edwin Chapin,
Aya ateş edin. Kaçırsan bile yıldızların arasına ineceksin.,"Shoot for the moon. Even if you miss, you'll land among the stars.",Les Brown,
Her gün iyi geçmeyebilir ama her günün içinde iyi bir şeyler vardır.,"Every day may not be good, but there's something good in every day.",,
"Alacaksanız önce vermelisiniz, bu zekanın başlangıcıdır.","If you would take, you must first give, this is the beginning of intelligence.",Lao Tzu,
"Bazı insanlar insanı güçlü kılan şeyin tutunmak olduğunu düşünür, bazen de bırakmaktır.","Some people think it's holding that makes one strong, sometimes it's letting go.",,
"Yeni, farklı ve daha iyi bir başarıyı başarısızlıklarımıza dayandırırız.",It is on our failures that we base a new and different and better success.,Havelock Ellis,
Kalite asla tesadüf değildir; her zaman akıllı bir çabanın sonucudur.,Quality is never an accident; it is always the result of intelligent effort.,John Ruskin,
Çalışmak ve düşünmemek israftır. Düşünmek ve çalışmamak tehlikelidir.,To study and not think is a waste. To think and not study is dangerous.,Confucius,
"Hayat, anlaşılması için yaşanması gereken dersler dizisidir.","Life is a succession of lessons, which must be lived to be understood.",Ralph Emerson,
"Zaman, içimizdeki değişime her zaman şaşıran bir şey dışında her şeyi değiştirir.",Time changes everything except something within us which is always surprised by change.,Thomas Hardy,
İsteyecek kadar önemlisin ve karşılığını alacak kadar da şanslısın.,You are important enough to ask and you are blessed enough to receive back.,Wayne Dyer,
"Büyük şeyler yapamıyorsanız, küçük şeyleri harika bir şekilde yapın.","If you cannot do great things, do small things in a great way.",Napoleon Hill,
Hayatınızın daha tatmin edici olmasını istiyorsanız düşünce şeklinizi değiştirmelisiniz.,"If you want your life to be more rewarding, you have to change the way you think.",Oprah Winfrey,
Dönüşüm boşlukta gerçekleşmez; bunun yerine etrafımızdakilerle dolaylı ve doğrudan bağlantı kurduğumuzda ortaya çıkar.,"Transformation doesn't take place with a vacuum; instead, it occurs when we are indirectly and directly connected to all those around us.",Byron Pulsifer,
"Yetenekleriniz ile diğerleri arasındaki tek fark, kendinizi onların yerine koyma ve gerçekten deneme yeteneğidir.",The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.,Leonardo Ruiz,
"Özgür insan, düşüncesinin sonuna kadar gitmekten korkmayan kişidir.",The free man is he who does not fear to go to the end of his thought.,Leon Blum,
"Maneviyatın her türlü maddi güçten daha güçlü olduğunu, düşüncelerin dünyaya hükmettiğini görenler büyüktür.","Great are they who see that spiritual is stronger than any material force, that thoughts rule the world.",Ralph Emerson,
"Hata yaparak geçirilen bir hayat, hiçbir şey yapmadan geçirilen bir hayattan sadece daha onurlu değil, aynı zamanda daha faydalıdır.",A life spent making mistakes is not only more honourable but more useful than a life spent in doing nothing.,Bernard Shaw,
"Kendi sorunlarınızın ötesine geçerek ve başkalarıyla ilgilenerek içsel güç, özgüven, cesaret ve daha büyük bir sakinlik duygusu kazanırsınız.","By going beyond your own problems and taking care of others, you gain inner strength, self-confidence, courage, and a greater sense of calm.",Dalai Lama,
"Mükemmel bir insanı bularak değil, kusurlu bir insanı mükemmel görmeyi öğrenerek sevmeye başlarız.","We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly.",Sam Keen,
"Arkamızda kalanlar ve önümüzde olanlar, içimizde olanların yanında küçücük meselelerdir.",What lies behind us and what lies before us are tiny matters compared to what lies within us.,Walt Emerson,
"O kadar derin ve karmaşık şeyler var ki, insan olarak gelişim aşamamızda buna ancak sezgi ulaşabilir.",There are things so deep and complex that only intuition can reach it in our stage of development as human beings.,John Astin,
Başkalarının beni tanımaması beni ilgilendirmeyecek; kendi yeteneksizliğimle ilgileneceğim.,I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability.,Confucius,
"Büyüklükten korkmayın; bazıları büyük doğar, bazıları büyüklüğe ulaşır ve bazılarına da büyüklük dayatılır.","Be not afraid of greatness: some are born great, some achieve greatness, and some have greatness thrust upon them.",William Shakespeare,
"İnsan ancak kalbiyle doğruyu görebilir, esas olanı gözle göremez.","It is only with the heart that one can see rightly, what is essential is invisible to the eye.",Antoine de Saint-Exupery,
Bizi mutlu eden insanlara minnettar olalım; onlar ruhlarımızın çiçek açmasını sağlayan büyüleyici bahçıvanlardır.,Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.,Marcel Proust,
Gücünüz dahilinde olanı en iyi şekilde kullanın ve gerisini olduğu gibi kabul edin.,"Make the best use of what is in your power, and take the rest as it happens.",Epictetus,
Düşünmeyi seçtiğimiz düşünceler hayatımızın tuvalini boyamak için kullandığımız araçlardır.,The thoughts we choose to think are the tools we use to paint the canvas of our lives.,Louise Hay,
"Hedeflerinizi ne kadar dikkatli planlarsanız planlayın, onları zevkle takip etmediğiniz sürece asla boş hayallerden öteye geçemezler.",No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto.,W. Clement Stone,
"Reddedilmekle kendinizi boşa harcamayın, kötülüğe havlamayın, iyinin güzelliğini zikredin.","Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good.",Ralph Emerson,
"Kullanması gereken bir yetenekle doğan kişi, en büyük mutluluğu onu kullanırken bulacaktır.",The person born with a talent they are meant to use will find their greatest happiness in using it.,Johann Wolfgang von Goethe,
"İyi insanlar iyidir çünkü bilgeliğe başarısızlık yoluyla ulaşmışlardır. Başarıdan çok az bilgelik elde ederiz, biliyorsun.","Good people are good because they've come to wisdom through failure. We get very little wisdom from success, you know.",William Saroyan,
Kaderiniz sadece kader değildir; İstediğinizi elde etmek için kendi gelişmiş yeteneklerinizi nasıl kullandığınızdır.,Your destiny isn't just fate; it is how you use your own developed abilities to get what you want.,Byron Pulsifer,
"Hayattan memnun olun çünkü size sevme, çalışma, oynama ve yıldızlara bakma şansını verir.","Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars.",Henry Van Dyke,
Nereye gittiğinizi bilmiyorsanız dikkatli olmalısınız çünkü oraya varamayabilirsiniz.,"You got to be careful if you don't know where you're going, because you might not get there.",Yogi Berra,
Övgü veya eleştirinin size ulaşmasına izin veremezsiniz. Her ikisine de kapılmak zayıflıktır.,You can't let praise or criticism get to you. It's a weakness to get caught up in either one.,John Wooden,
Kendinize değer verene kadar zamanınıza değer vermeyeceksiniz. Zamanınıza değer verene kadar onunla hiçbir şey yapmayacaksınız.,"Until you value yourself, you won't value your time. Until you value your time, you won't do anything with it.",M. Scott Peck,
"Hak ettiğinizden daha azına razı olduğunuz an, razı olduğunuzdan daha da azına sahip olursunuz.","The minute you settle for less than you deserve, you get even less than you settled for.",Maureen Dowd,
"Ahlaki açıdan ulaşabileceğimiz en yüksek aşama, düşüncelerimizi kontrol etmemiz gerektiğini anladığımız zamandır.",The highest stage in moral ure at which we can arrive is when we recognize that we ought to control our thoughts.,Charles Darwin,
"Doğru yönde birçok küçük adım atmak, ileriye doğru büyük bir sıçrama yapıp geriye doğru tökezlemekten daha iyidir.",It is better to take many small steps in the right direction than to make a great leap forward only to stumble backward.,,
"Olumlu bir zihinsel tutuma sahipsek, etrafımız düşmanlıkla çevrili olsa bile iç huzurumuz eksik olmaz.","If we have a positive mental attitude, then even when surrounded by hostility, we shall not lack inner peace.",Dalai Lama,
Tek bir başarı vardır; hayatınızı kendi istediğiniz gibi geçirebilmek.,"There is only one success, to be able to spend your life in your own way.",Christopher Morley,
"Vaatler, geleceği düzenlemenin, insanca mümkün olduğu ölçüde onu öngörülebilir ve güvenilir kılmanın benzersiz insana özgü yoludur.","Promises are the uniquely human way of ordering the future, making it predictable and reliable to the extent that this is humanly possible.",Hannah Arendt,
Kazanmak zorunda değilsin. Her gün elinizden gelenin en iyisini yapmaya çalışmak zorundasınız.,You're not obligated to win. You're obligated to keep trying to do the best you can every day.,Marian Edelman,
"Herkes işler kolay olduğunda başarının tadını tadabilir, ancak çok az kişi işler zorlaştığında zaferin tadını nasıl çıkaracağını bilir.","Everyone can taste success when the going is easy, but few know how to taste victory when times get tough.",Byron Pulsifer,
"Derin dinleme hem dinleyici hem de konuşmacı için mucizevidir. Birisi bizi açık yürekli, yargılamayan, yoğun bir ilgiyle dinleyerek karşıladığında moralimiz genişler.","Deep listening is miraculous for both listener and speaker.When someone receives us with open-hearted, non-judging, intensely interested listening, our spirits expand.",Sue Patton Thoele,
Çok güvenirseniz aldanabilirsiniz ama yeterince güvenmezseniz azap içinde yaşarsınız.,"You may be deceived if you trust too much, but you will live in torment if you don't trust enough.",Frank Crane,
Tüm varlıkların başlangıcını borçlu olduğu ve tüm gökyüzüne nüfuz eden Yaratıcının yüceliği gerçekten büyüktür.,"Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven.",Lao Tzu,
"Yapılması gereken tek şey imkansızı kabul etmek, vazgeçilmez olmadan yapmak ve dayanılmaz olana katlanmak.","All that is necessary is to accept the impossible, do without the indispensable, and bear the intolerable.",Kathleen Norris,
Geçmişe giderek kendinizi bulamazsınız. Şimdiki zamana gelerek kendinizi bulabilirsiniz.,You cannot find yourself by going into the past. You can find yourself by coming into the present.,Eckhart Tolle,
"Bütün yeteneklerimiz kullandıkça artar, iyi ve kötü her yetimiz egzersizle güçlenir.","All our talents increase in the using, and the every faculty, both good and bad, strengthen by exercise.",Anne Bronte,
Özgür ve mutlu yaşamak için can sıkıntısından fedakarlık etmelisiniz. Bu her zaman kolay bir fedakarlık değildir.,In order to live free and happily you must sacrifice boredom. It is not always an easy sacrifice.,Richard Bach,
Tilkinin birçok numarası var. Kirpinin yalnızca bir tane var. Ama bu hepsinden iyisi.,The fox has many tricks. The hedgehog has but one. But that is the best of all.,Desiderius Erasmus,
Başarının belki de yaşamı ve getirdiğini koşulsuz kabullenmek dışında bir formülü yok elbette.,Of course there is no formula for success except perhaps an unconditional acceptance of life and what it brings.,Arthur Rubinstein,
Beni hedefime ulaştıran sırrı söyleyeyim sana: gücüm yalnızca azmimdedir.,Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity.,Louis Pasteur,
